domain,company_name,contact_name,contact_title
viomedspa.com,VIO Med Spa,,
idealimage.com,Ideal Image,,
laseraway.com,LaserAway,,
4everyoungantiaging.com,4Ever Young Anti-Aging,,,
skinspirit.com,SkinSpirit,Lynn Heublein,CEO & Co-Founder
everbody.com,Ever/Body,Ellen Bower,CEO
mychapter.com,Chapter Aesthetic Studio,Melissa Rogne,Founder & President
skinlaundry.com,Skin Laundry,David McIntosh,CEO
radiancemedspa.com,Radiance Medspa,Stephanie Schlageter,Founder & CEO
qckinetix.com,QC Kinetix,Mark Montini,CEO
restore.com,Restore Hyper Wellness,,
heydayskincare.com,Heyday Skincare,Adam Ross,Co-Founder & CEO
sonobello.com,Sono Bello,Tom Barr,CEO
heartland.com,Heartland Dental,Patrick Bauer,President & CEO
aspendental.com,Aspen Dental (TAG),Bob Fontana,Founder Chairman & CEO
pacificdentalservices.com,Pacific Dental Services,Stephen Thorne,Founder & CEO
smilebrands.com,Smile Brands,Steve Bilt,Co-Founder & CEO
nadentalgroup.com,North American Dental Group,Paul Reda,CEO
forefrontdermatology.com,Forefront Dermatology,,
usdermatologypartners.com,U.S. Dermatology Partners,Paul Singh,CEO
epiphanydermatology.com,Epiphany Dermatology,Gheorghe Pusta,Co-Founder & CEO
schweigerderm.com,Schweiger Dermatology Group,Eric Schweiger MD,Founder & CEO
thejoint.com,The Joint Chiropractic,,
100percentchiropractic.com,100% Chiropractic,Steve Schillinger,CEO
fyzical.com,FYZICAL Therapy & Balance Centers,Wayne Cavanaugh,CEO
handandstone.com,Hand & Stone Massage and Facial Spa,,
massageenvy.com,Massage Envy,,
woodhousespas.com,Woodhouse Day Spa,,
solasalonstudios.com,Sola Salon Studios,Ben Jones,CEO (Radiance Holdings)
madison-reed.com,Madison Reed Color Bar,Amy Errett,CEO & Founder
dekalash.com,Deka Lash,Jennifer Blair,Founder & CEO
waxcenter.com,European Wax Center,,
stretchlab.com,StretchLab,,
advancedderm.com,Advanced Dermatology and Cosmetic Surgery,,
dentalcarealliance.com,Dental Care Alliance,,
affordable-dentures.com,Affordable Care (Affordable Dentures & Implants),,
