email,company_name,domain,category,city,subject,body
frontdesk@micmacdental.ca,Mic Mac Dental Centre,www.micmacdentalcentre.ca,Dentist,Dartmouth,Idea for Mic Mac,"Hi,

My name's Dylan, I'm a Dalhousie student in Halifax building AI for local businesses. I came across Mic Mac Dental Centre and thought this might be relevant.

Most dental practices I've talked to lose 5-10 new patient calls a week to voicemail. I built an AI receptionist that picks up every call, books appointments, and re-engages past clients sitting in your system.

No pressure at all, but if you're curious I'd love to show you how it works: calendly.com/realsideai

Best,
Dylan"
user@domain.com,Miller Dental Health Centre,millerdentalhealthcentre.com,Dentist,Dartmouth,Miller Dental Health + AI (from a Dal student),"Hi,

I'm Dylan from Dalhousie University. I've been building AI phone agents specifically for dentists in Nova Scotia and wanted to connect with Miller Dental Health Centre.

I know how many calls dental offices miss during cleanings and procedures. What I've built answers every call, handles scheduling, and can even re-engage old clients who dropped off.

If you're open to it, I'd love 10 minutes to show you: calendly.com/realsideai

Talk soon,
Dylan"
hillsidedental@eastlink.ca,Hillside Family Dental Associates,www.hillsidefamilydental.ca,Dentist,Dartmouth,Quick question for Hillside Family,"Hey,

I'm a Dalhousie student working on something I think could help Hillside Family Dental Associates.

Most dental practices I've talked to lose 5-10 new patient calls a week to voicemail. I've built an AI that handles your incoming calls 24/7, books appointments into your calendar, and automatically follows up with clients who haven't been in for a while.

Would a quick chat be worth your time? Happy to walk you through it: calendly.com/realsideai

Dylan"
reception@woodlawndental.ca,Woodlawn Dental Centre,www.woodlawndental.ca,Dental clinic,Dartmouth,For Woodlawn re: missed calls,"Hey,

I'm a Dalhousie student working on something I think could help Woodlawn Dental Centre.

I know how many calls dental clinics miss during procedures. I've built an AI that handles your incoming calls 24/7, books appointments into your calendar, and automatically follows up with clients who haven't been in for a while.

Would a quick chat be worth your time? Happy to walk you through it: calendly.com/realsideai

Dylan"
info@tacomadental.ca,Tacoma Dental Centre,www.tacomadental.ca,Dentist,Dartmouth,"Dal student, quick question for Tacoma","Hey there,

I'm a student at Dal here in Halifax, and I've been working on an AI receptionist built for local businesses like Tacoma Dental Centre.

Most dental practices I've talked to lose 5-10 new patient calls a week to voicemail. The AI I built picks up every single call, books appointments, and texts clients back if they called after hours.

Would you be open to a quick demo? I promise it's only 10 minutes: calendly.com/realsideai

Dylan"
info@dentistry4u.life,Dentistry4U,www.dentistry4u.life,Dental clinic,Dartmouth,Would this help Dentistry4U?,"Hi,

Quick intro: I'm Dylan, a Dalhousie student building AI tools for local Dartmouth businesses. Thought Dentistry4U might find this interesting.

I've been looking into how dental clinics handle call volume during busy hours. I've put together an AI agent that answers calls around the clock, books appointments, and brings back past clients who haven't visited in months.

Worth a quick look? Here's my calendar if so: calendly.com/realsideai

Cheers,
Dylan"
infodart@alliancedental.ca,Alliance Dental Dartmouth,www.alliancedentaldartmouth.ca,Dentist,Dartmouth,For Alliance Dental Dartmouth re: missed calls,"Hi,

My name's Dylan, I'm a Dalhousie student in Halifax building AI for local businesses. I came across Alliance Dental Dartmouth and thought this might be relevant.

I know how many calls dental offices miss during cleanings and procedures. I built an AI receptionist that picks up every call, books appointments, and re-engages past clients sitting in your system.

No pressure at all, but if you're curious I'd love to show you how it works: calendly.com/realsideai

Best,
Dylan"
contact@burnsidedental.ca,Burnside Dental Centre,burnsidedental.ca,Dentist,Dartmouth,Idea for Burnside,"Hi,

I'm Dylan from Dalhousie University. I've been building AI phone agents specifically for dentists in Nova Scotia and wanted to connect with Burnside Dental Centre.

I've been researching how many new patient calls go unanswered at dental offices during peak hours. What I've built answers every call, handles scheduling, and can even re-engage old clients who dropped off.

If you're open to it, I'd love 10 minutes to show you: calendly.com/realsideai

Talk soon,
Dylan"
info@oceanparkdental.ca,Ocean Park Dental,www.oceanparkdental.ca,Dentist,Dartmouth,Saw Ocean Park in Dartmouth,"Hey there,

I'm a student at Dal here in Halifax, and I've been working on an AI receptionist built for local businesses like Ocean Park Dental.

Most dental practices I've talked to lose 5-10 new patient calls a week to voicemail. The AI I built picks up every single call, books appointments, and texts clients back if they called after hours.

Would you be open to a quick demo? I promise it's only 10 minutes: calendly.com/realsideai

Dylan"
millstone.dental@eastlink.ca,Millstone Dental Centre,www.millstonedental.ca,Dentist,Dartmouth,Would this help Millstone?,"Hi,

I'm Dylan from Dalhousie University. I've been building AI phone agents specifically for dentists in Nova Scotia and wanted to connect with Millstone Dental Centre.

I've been researching how many new patient calls go unanswered at dental offices during peak hours. What I've built answers every call, handles scheduling, and can even re-engage old clients who dropped off.

If you're open to it, I'd love 10 minutes to show you: calendly.com/realsideai

Talk soon,
Dylan"
reception@32pearlsdental.ca,32 Pearls Dental,www.32pearlsdental.ca,Dentist,Dartmouth,32 Pearls + AI (from a Dal student),"Hi,

Quick intro: I'm Dylan, a Dalhousie student building AI tools for local Dartmouth businesses. Thought 32 Pearls Dental might find this interesting.

Most dental practices I've talked to lose 5-10 new patient calls a week to voicemail. I've put together an AI agent that answers calls around the clock, books appointments, and brings back past clients who haven't visited in months.

Worth a quick look? Here's my calendar if so: calendly.com/realsideai

Cheers,
Dylan"
info@bedforddental.ca,Bedford Dental Centre,www.bedforddental.ca,Dentist,Bedford,Quick question for Bedford,"Hi,

Quick intro: I'm Dylan, a Dalhousie student building AI tools for local Bedford businesses. Thought Bedford Dental Centre might find this interesting.

I know how many calls dental offices miss during cleanings and procedures. I've put together an AI agent that answers calls around the clock, books appointments, and brings back past clients who haven't visited in months.

Worth a quick look? Here's my calendar if so: calendly.com/realsideai

Cheers,
Dylan"
info@bedfordhighwaydentistry.ca,Bedford Highway Dentistry,bedfordhighwaydentistry.ca,Dental clinic,Bedford,Bedford Highway Dentistry + AI (from a Dal student),"Hi,

My name's Dylan, I'm a Dalhousie student in Halifax building AI for local businesses. I came across Bedford Highway Dentistry and thought this might be relevant.

I know how many calls dental clinics miss during procedures. I built an AI receptionist that picks up every call, books appointments, and re-engages past clients sitting in your system.

No pressure at all, but if you're curious I'd love to show you how it works: calendly.com/realsideai

Best,
Dylan"
reception@millcovedental.ca,Mill Cove Dental Centre,www.millcovedental.ca,Dentist,Bedford,Saw Mill Cove in Bedford,"Hi,

I'm Dylan from Dalhousie University. I've been building AI phone agents specifically for dentists in Nova Scotia and wanted to connect with Mill Cove Dental Centre.

I know how many calls dental offices miss during cleanings and procedures. What I've built answers every call, handles scheduling, and can even re-engage old clients who dropped off.

If you're open to it, I'd love 10 minutes to show you: calendly.com/realsideai

Talk soon,
Dylan"
info@theparksdentistry.com,The Parks of West Bedford Dentistry,www.theparksdentistry.com,Dentist,Bedford,"Dal student, quick question for The Parks of West Bedford","Hi,

Quick intro: I'm Dylan, a Dalhousie student building AI tools for local Bedford businesses. Thought The Parks of West Bedford Dentistry might find this interesting.

I know how many calls dental offices miss during cleanings and procedures. I've put together an AI agent that answers calls around the clock, books appointments, and brings back past clients who haven't visited in months.

Worth a quick look? Here's my calendar if so: calendly.com/realsideai

Cheers,
Dylan"
